APPROVED SYMBOL	ALIASES
CORS2~WITHDRAWN	
POC1B-GALNT4	
RN7SL409P	
RNF121	FLJ11099
ZNF83	FLJ11015, HPF1
PAX6	D11S812E, AN, WAGR
CYB5D2	MGC32124
FRA3D	
AGGF1P3	
SYTL3	SLP3, EXOPHILIN-6
FSCN3	
DYT4	
RNF40	KIAA0661, RBP95, BRE1B, STARING
PIH1D1	FLJ20643
HCG18	FLJ31598, FLJ25550, EM:AB014087.1
ABCC13	PRED6, C21ORF73
ANKRD18B	BA255A11.3
CHCHD1	FLJ25854
CDK7PS	
DEFB108P1	DEFB-8, DEFB108A
STT3B	SIMP, FLJ90106, STT3-B
C2ORF62	MGC50811
LIN28AP3	
RN7SL473P	
RNU6-1192P	
AGAP1-IT1	
RBMS1	SCR2, MSSP-1, MSSP-2, MSSP-3, YC1, HCC-4, DKFZP564H0764
EEF2K	EEF-2K
TRNAP15	
CEACAMP6	
MIR4643	HSA-MIR-4643
RBP5	CRBPIII
SRGAP2	KIAA0456, ARHGAP34, SRGAP2A
DPM2	MGC21559, MGC111193
RNASE2	EDN
ABCF1	EST123147
ANKRD17	GTAR, KIAA0697, FLJ22206, NY-BR-16
C2ORF68	
LY6H	NMLY6
RPS20P33	
KRTAP10-7	KAP10.7, KAP18.7
RPS3AP53	
AMLCR2	
MIR4758	HSA-MIR-4758
SAMD8	FLJ25082
TRNAA36	
MNDA	PYHIN3
FKBP1AP4	
RPL23AP47	
ELP5	DERP6
OR1E4~WITHDRAWN	
EFCAB10	
KCNK17	K2P17.1, TALK-2, TALK2, TASK4, TASK-4
MRX62	
RFX7	FLJ12994
C19ORF48	MGC13170
GTF2H4	TFB2, TFIIH, P52
ZFAND2A	AIRAP
IGHV3OR16-14	IGHV3/OR16-14
AMIGO2	ALI1, DEGA
PTGES3P5	
CXORF49	
FABP5	E-FABP, PA-FABP, KFABP
FRA13D	
IGHV3-32	
PLEK2	
PCDHGB2	PCDH-GAMMA-B2
RBM27	KIAA1311, ARRS1, PSC1, ZC3H18
SNORD52	U52
OR51B6	
DDAH2	
HS3ST5	3-OST-5
EAF2	BM040, TRAITS, U19
RNA5SP345	
CD24P3	
TCEANC	MGC17403
FAT2	MEGF1, CDHF8, HFAT2, CDHR9
COX4I1P1	
AGBL1-AS1	
RNU6-1178P	
NCOA4	ARA70, RFG, ELE1, PTC3, DKFZP762E1112
PDZD3	FLJ22756, IKEPP
MTHFD2L	MGC72244
HLA-F	
RPS13P6	
FTCD-AS1	
ICAM2	CD102
TRIM59	TSBF1, MRF1, RNF104
DBX1	
RNU7-95P	
CSTF3-AS1	
MATR1~WITHDRAWN	
CCT8L2	CESK1
DMP1	
BTF3P8	
ASIC3	TNAC1, DRASIC
NBPF1	FLJ20719, KIAA1693
FER	TYK3, PPP1R74
FUT1	
F2L~WITHDRAWN	
MIR548M	HSA-MIR-548M
MRPL28	P15
TRNAL15	
SLC6A19	
AOX2P	AOH2
RPL3P4	
TMEM78	FLJ40168
RNA5SP217	
MIR3974	HSA-MIR-3974
CTNNA2	CAP-R, CT114
SLC35C2	CGI-15, BA394O2.1
LYSMD1	SB145, MGC35223, RP11-68I18.5
PI10~WITHDRAWN	
RNF219	FLJ13449
C6ORF226	LOC441150
CEACAM16	
FRA1L	
SERPINB4	PI11, LEUPIN, SCCA-2, SCCA1
HCP5P3~WITHDRAWN	
MCM10	PRO2249, CNA43, DNA43
C3ORF79	
TRNAN6~WITHDRAWN	
TSSC1-IT1	
RNU6-852P	
RNVU1-13	VU1.13, RNU1-147
CTDSPL	HYA22, SCP3, PSR1, RBSP3
KIF13A	BA500C11.2
GABPB2	MGC29891
DYX4	
TEX40	DKFZP566E164
KRT18P9	BA513I15.2
FZD10-AS1	FLJ31485
HMGB3P30	
CBX1P5	
RNU6-167P	
PREPL	KIAA0436
ASB9P1	
RPL9P26	
SNORD118	U8
RNU6-497P	
C14ORF41~WITHDRAWN	
RNU4-86P	
CFL1P5	
SNORA68	U68
RNU6-526P	
RNA5SP173	
LGALS8-AS1	
MIR22HG	MGC14376, DKFZP686O06159
SUCLG2	
NF1P4	
RNU6-491P	
GMNN	GEM
PRMT2	MGC111373
TAK1~WITHDRAWN	
RN7SKP191	
RBMY2HP	
ENTHD2	FLJ31528
MAP3K3	MAPKKK3
SLC3A2	4T2HC, 4F2, NACAE, CD98, CD98HC, 4F2HC
PABPC1P1	PABP1
METTL21AP1	
PCNPP5	
TBP	TFIID
WDR87	NYD-SP11
ANTP2~WITHDRAWN	
OR52A1	HPFH1OR
TRNAU3	
MIR183	HSA-MIR-183
HMGN2P24	
BORJ~WITHDRAWN	
ZNF723	
OR2L13	
TF	PRO1557, PRO2086
LUCAT1	SCAL1
LAMTOR3P1	
CNRS8~WITHDRAWN	
CTR9	KIAA0155, TSBP, P150TSP
OR7E124P~WITHDRAWN	
EXTL3	BOTV, REGR
PTPRF	
MTNR1A	MEL-1A-R
PPBPP2	SPBPBP
FAM73B	FLJ14596, FLJ00199
RNU5A-1	U5A, U5B1
RPL9P21	
GAGE12C	OTTHUMG00000024144
ACMG~WITHDRAWN	
BDH2P1	BA758C21.1
RPL21P81	
MFSD5	MGC11308
PAM	PAL, PHM
RPS5P1	
AEZ~WITHDRAWN	
DCAF12L2	
SLC25A15	ORC1, D13S327
RN7SL27P~WITHDRAWN	
PARK12	
CDY17P	
ELMO1	KIAA0281, CED12, ELMO-1, CED-12
RN7SL848P~WITHDRAWN	
RNA5SP141	
MIR1295A	HSA-MIR-1295
IGKVP2~WITHDRAWN	
SSU72P5	
TAB1	
IL1B	IL1F2, IL-1B, IL1-BETA
SYNPO	KIAA1029
RP21~WITHDRAWN	
OSM	MGC20461
PPP1R2P2	
MTND4P15	
RN7SL301P	
GPC5-IT1	
SNORD116-28	HBII-85-28
PTPRN	IA-2
DNAJB13	TSARG6, RSPH16A
TRNAI1	
MAD1L1	HSMAD1, TXBP181, MAD1, PIG9, TP53I9
DDX24	
HMGB3P25	
INS	
ATF6B	G13
CBL	RNF55, C-CBL
TMEM120B	
TSPAN17	FBX23
RNU4-40P	
MRT24	
HOXD13	
GAK	DNAJC26
DSCR3	DCRA
NMDARA1~WITHDRAWN	
ERVMER34-1	
MXRA7	FLJ46603, TMAP1, PS1TP1
IRID1~WITHDRAWN	
POLR2K	RPB10ALPHA
BANF1P3	
RPL13AP22	
UBE3AP1	
SUMO2P2	
CA6	
DGKG	
HIST1H3G	H3/H
HPRTP4	
NOP58	NOP5, HSPC120
IGHVII-28-1	IGHV(II)-28-1
RNA5SP473	
RN7SL467P	
RNU6-183P	
RPSAP55	
RNU6-818P	
TVP23BP1	
DUXAP6	
RN7SKP208	
RNU6-467P	
ZAN	
PRDX3P1	
TTC4P1	
ATP6V1E1P2	
MIR4518	HSA-MIR-4518
KRTAP24-1	KAP24.1
CD27	S152, TP55
TTBK2	KIAA0847
LRRC56	FLJ00101, DKFZP761L1518
MRPL42P1	
PRSS43	TESSP3
FAM71B	MGC26988
FRA10A	
OR7E118P~WITHDRAWN	
RNU6-1042P	
TMEM63A	
LINC00668	
PHKG1P3	PHKG1PS2
HNRNPH1	HNRNPH
MTND3P10	
MTXP~WITHDRAWN	
RAP2C	DKFZP313B211
MARK2P13	
RPL29P16	
AGO4	HAGO4, KIAA1567, FLJ20033
ZNF626	
RN7SKP262	
SBF1P1	
PDXP	DJ37E16.5, FLJ32703
ST3GAL5	ST3GALV, SIATGM3S
CCDC26	MGC27434, RAM
PLAC5~WITHDRAWN	
RPL3P1	
MIR5191	HSA-MIR-5191
MIR3611	HSA-MIR-3611
TRBV12-5	TRBV125, TCRBV12S5, TCRBV8S3
ELMOD1	DKFZP547C176
SCARNA14	U100
MKKS	
TRABD2A	
RNU6-435P	
DDR1-AS1	BPG70P20.2, BCX111D4.7, BQB10J12.1
CSF2RB	IL5RB, CD131
ACSM5	FLJ20581
TRNAV19	
C19ORF54	FLJ41131
MIR3116-2	HSA-MIR-3116-2
RNU7-153P	
FAM90A19P	
EDA2R	XEDAR, EDA-A2R, EDAA2R, TNFRSF27
L3MBTL3	KIAA1798
IFNA~WITHDRAWN	
GOLGA6C	
MIR5694	HSA-MIR-5694
ERVH-3	HERV-H/F
DINB1~WITHDRAWN	
COX16	HSPC203
TOMM22P5	
AP4M1	MU-ARP2, MU-4, SPG50
PTP4A1P3	
NPW	PPL8
OR4K6P	
GJB7	CX25, BA136M9.1
C4ORF22	
PPARGC1A	PGC1, PGC1A
EBNA1BP2	NOBP, EBP2, P40
CORTBP1~WITHDRAWN	
GABARAP	MM46, ATG8A
RGS6	
BSN-AS1	
CPB1	
TIMM13	TIM13
RNU6-43P	
RN7SL489P	
APOBEC1	BEDP, CDAR1, APOBEC-1, HEPR
RNU5B-6P	
RNU6-390P	
SLX1B	MGC5178
BNIP3P5	
C15ORF32	FLJ32831
KRTAP19-11P	KAP19C
OR5AU1	
CUTA	
GLYATL1P2	
OR7E138P~WITHDRAWN	
FGFR1OP2P1	
C8ORF27~WITHDRAWN	
RNU6-910P	
TRNAM20	
CNOT3	NOT3H, KIAA0691, LENG2
MIR504	HSA-MIR-504
LINC00984	OGU1
MAS1L	MAS-L, MRG, DJ994E9.2
CENPF	HCP-1
RHPN1-AS1	MGC3113
ZSCAN1	FLJ33779, ZNF915
PRELP	SLRR2A, PROLARGIN
KIAA0513	
IGKV2D-26	
XKRYP1	
DUX4	
FBXL18	FLJ11467, FBL18
GRM3	GPRC1C, MGLU3, MGLUR3
SYT3	
RBM6	DEF-3, 3G2, NY-LU-12, G16, DEF3
FDPSP2	TCAG_1641456
CCDC69	FLJ13705, DKFZP434C171
ATP8A2P1	
ASB2	ASB-2
GCDH	ACAD5
HMGN1P15	
P4HA3	C-P4HALPHA(III)
TGIF1	
TRNAI7	
SLC15A4	PHT1, PTR4
TRGV10	V3P
IGLVIV-65	IGLV(IV)-65
NLRX1	NOD9, CLR11.3
CLCF1	NNT1, BSF3, CLC, NR6, CISS2, BSF-3, NNT-1
POLR2B	RPB2
SPATA18	FLJ32906
ITM2C	BRI3, E25, HRPC.1050_D_4, ITM3, BRICD2C
PIRC82	
RN7SL434P	
ANKRD53	FLJ12056, FLJ36160
RPL35AP11	
DPPA5P2	
DIS3	DIS3P, RRP44, EXOSC11
MIR1975~WITHDRAWN	
DTNA	D18S892E, DTN, DTN-1, DTN-2, DTN-3, DRP3
AADACL2	MGC72001
DFNB56	
AGPAT5P1	
MERRF~WITHDRAWN	
FOXG1B~WITHDRAWN	
PPP2R5B	FLJ35411, B56B, PR61B
MEGF8	SBP1, FLJ22365
ENPP7P3	
GPR161	RE2
RNU6-838P	
SLFN11	FLJ34922
RNU6-593P	
RNA5SP277	
RNU1-148P	
RNU6-391P	
KRTAP5-13P	KRTAP5.P1
ANAPC7	APC7
ABCC6	MRP6, EST349056, MLP1, URG7
TTC28	KIAA1043
RBPJL	RBP-L, SUH, SUHL
FOLHP~WITHDRAWN	
WDR52-AS1	
FEZ2	
NUDT15P2	
CERCAM	GLT25D3, CERCAM
C3ORF20	DKFZP434N1817
PANX3	PX3
PIP4K2A	PIP5KIIA, PIP5KIIALPHA
RNU6-677P	
CAPN1	MUCANP, MUCL, CANP, CANPL1
MIR3190	HSA-MIR-3190
CLUHP5	KIAA0664L5
KCNG3	KV6.3
OR7E32P~WITHDRAWN	
CYP46A1	
RNU6ATAC27P	
RPL7AP27	
ZNF101P1	
RPL7P21	
RPS29P23	
MIR4438	HSA-MIR-4438
ZNF143	SBF, PHZ-1, STAF
TRAPPC4	TRS23, SBDN, PTD009
PRDM2	RIZ, RIZ1, RIZ2, KMT8, MTB-ZF, HUMHOXY1
HMGB1P45	
RB1	RB
CLAPA2~WITHDRAWN	
ERVK-7	HERV-K(III), HERV-K102
EDN3	ET3
C9ORF91	DKFZP547P234, FLJ38045
CMT1B~WITHDRAWN	
SPATA6L	FLJ10058
OR13I1P	
FTH1P6	
MTHFD2P4	
STAG3L5P-PVRIG2P-PILRB	
VEPH1	FLJ12604, KIAA1692
RNU6-1239P	
UBL5P2	
RBMY1A2~WITHDRAWN	
TYRL	
FKBP1L~WITHDRAWN	
AZU1	AZU, CAP37, AZAMP, HBP, NAZC, HUMAZUR
GLDC	GCSP, NKH
BANF1P2	BA122K13.8
UCHL3	
SNAPC5P1	
TAB3	
HADHA	GBP, LCEH, LCHAD, MTPA
HTK~WITHDRAWN	
ZCCHC10	FLJ20094
MIR1250	HSA-MIR-1250
SMARCA2	BAF190, HSNF2A, HBRM, STH1P, SNF2LA, BRM, SNF2, SWI2
C7ORF76	FLJ42280
ZNF35P~WITHDRAWN	
ITGB1	CD29, GPIIA
CCNY	CFP1, CBCP1
CLDN2	
CAMKD~WITHDRAWN	
GPRK7~WITHDRAWN	
OR52B4	
PYCR2	P5CR2
ARPC1B	ARC41, P40-ARC, P41-ARC
IFI56P~WITHDRAWN	
MYO16-AS1	
RASSF10	
RNF5	NG2, G16, RING5, RMA1
MTND6P14	
RNA5SP391	
SNRPEP7	
LPAR4	P2Y9, P2Y5-LIKE, P2RY9, LPA4
RAI5~WITHDRAWN	
SUMO1P3	
RPS10P11	
KYNUP3	
TUBB4BP1	
UBE2D3	UBCH5C
SLC25A39P2	
RNU7-163P	
MOXD1	DKFZP564G202, MOX, DJ248E1.1
ZNF204P	B24O18.1, ZNF184-LP
PRINS	NCRNA00074
NDUFA5P7	
RNU6ATAC19P	
TLCD2	
CIZ1	LSFR1, ZNF356
KRTCAP2	KCP2
TFF3	HITF, ITF
TM4SF20	FLJ22800, TCCE518
CCT8	CCTQ, PRED71
FGS2	
TRNAT3	
MIR5090	HSA-MIR-5090
TSR3	MGC24381
DUXA	
LINC00582	
FAM151B	UNQ9217
HPCA	
CD69	CLEC2C
IGSF8	CD81P3, EWI2, PGRL, CD316
SRBD1	FLJ10379
MAM~WITHDRAWN	
RBM38	HSRNASEB, SEB4D, SEB4B, DJ800J21.2
DUX1	
AN2~WITHDRAWN	
RNA5SP400	
TM6SF1	
ARMCX1	ALEX1
CKAP4	P63, CLIMP-63, ERGIC-63
CCDC169	RP11-251J8.1, LOC728591
SRPRB	APMCF1
MNS~WITHDRAWN	
LMF1	FLJ12681, JFP11, FLJ22302, TMEM112A
SETD6	FLJ21148
MRT10	
SUGP1	F23858, DKFZP434E2216, RBP
ROCK2	
C6ORF25	G6B, NG31
SNORD115-25	HBII-52-25
PITRM1	MP1, KIAA1104, HMP1, PREP
RSL24D1	HRP-L30-ISO, L30, RPL24L, RPL24
RN7SL754P	
TRAV5	
CPS1-IT1	PRO0132, CPS1-IT
SNORD86	U86
NDUFA5P10	
ATP10A	ATPVA, ATPVC, KIAA0566
COX5BP1	
GINS2	PSF2, PFS2
TIA1	
TAS2R16	T2R16
RPL9P1~WITHDRAWN	
TRBVOR9@~WITHDRAWN	
PMS2CL	PMS2P13
ZNF462	DKFZP762N2316, KIAA1803, ZFP462
IGKV3D-7	
EFCAB11	
FAM47E-STBD1	
DPH6	MGC14798
IGHJ2P	JPSI2
HMGB1P14	
GAPVD1	DKFZP434C212, KIAA1521
TRMT112P5	
LSM4	YER112W
RNU6-82P	
RPL19P12	
HMGB1P20	
TP53TG5	CLG01, DJ453C12.5
RC3H1-IT1	
LRRN3	NLRR3, FLJ11129, FIGLER5
LRRC10B	
ZBTB20	ODA-8S, DKFZP566F123, DPZF
MIR3923	HSA-MIR-3923
MIR4759	HSA-MIR-4759
MIR7-2	HSA-MIR-7-2
RNU6-806P	
DUX4L13	
CALM1P1	
ITGA5	CD49E
TRNAR23	
MPP2	DKFZP761D0712
COPS5	JAB1, SGN5, MOV-34, CSN5
GDF7	BMP12
NEK5	
TNFAIP8	GG2-1, MDC-3.13, SCC-S2
NPM2	
RPS20P15	
RNS6~WITHDRAWN	
MIR1302-9	HSA-MIR-1302-9
GLUR2~WITHDRAWN	
CDY6P	
SLC2A9	GLUT9, GLUTX, URATV1
STRA6	FLJ12541
GGTLC3	
C2ORF27A	
GUCD1	MGC1842, LLN4
CARM1	PRMT4
ADRA2L1~WITHDRAWN	
AXIN1	PPP1R49
IFI27	P27, FAM14D
XRCC4L~WITHDRAWN	
SPP1	BSPI, ETA-1
RN7SL85P	
PRKM8IPP~WITHDRAWN	
HTATSF1P1	TAT-SF1-L, DJ1033B10.6
CEACAM21	R29124_1, FLJ13540
CECR9	
THOC5	PK1.3, KIAA0983, FMIP, FSAP79
SNORD121A	
TRNAF10	
NFE2L2	NRF2
CAPN12	
MAGE2~WITHDRAWN	
PSMB10	LMP10, MGC1665, BETA2I
RPL21P99	
ZMYM4-AS1	
ST13P21	
MCHR2-AS1	
DNASE2	
MTND1P20	
TNIK	KIAA0551
NPBWR1	
CXXC11	FLJ33590
IVD	ACAD2
CRYBB1	
ZNF879	DKFZP686E2433
KRT1	KRT1A
MIC18~WITHDRAWN	
ACOT7	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, HBACH
ATP5A1P8	
CDAN3	CDAIII
GOLGA8B	
OR11K1P	
RNA5SP73	
GGCX	VKCFD1
FCRL3	FCRH3, IRTA3, IFGP3, SPAP2A, SPAP2, SPAP2B, SPAP2C, SPAP2D, SPAP2E, CD307C
RNU6-765P	
PTGES3P2	
RPS7P9	
RN7SL507P	
MKRN8P	LOC391033
MIR4732	HSA-MIR-4732
PLEKHF2	ZFYVE18, PHAFIN2, FLJ13187
COX20	FLJ43269
NINL	KIAA0980, NLP
EEF1A1P8	
RNU6-1338P	
NOL6	BA311H10.1, NRAP, FLJ21959, MGC14896, MGC14921, MGC20838, UTP22
C14ORF88~WITHDRAWN	
C10ORF124~WITHDRAWN	
OR5BG1P~WITHDRAWN	
ZNF726P1	
RPL23AP31	
OGFOD2	FLJ13491, FLJ37501
ATP5~WITHDRAWN	
DPPA2P2	
ARL5A	
MIR520H	HSA-MIR-520H
AKAP14	AKAP28
RNU6-751P	
NOS2P3	
SULT1C3	
SIX3-AS1	
RN7SL484P	
RNU6-1110P	
NDUFS5P7	
DSG3	CDHF6
M6PR	
FAM72B	RP11-439A17.6
OR51C3P~WITHDRAWN	
RNA5SP270	
AMN	AMNIONLESS
ZKSCAN4	P373C6.1, P1P373C6, FLJ32136, ZSCAN36
DNAJC27	RABJS
RPS25P7	
SVIL	
LINC00470	
ZNF887P	
PCGF1	NSPC1, RNF68, MGC10882
CWF19L1	FLJ10998
RNU6-963P	
RNU6-1306P	
ENTPD3	NTPDASE-3, HB6
SAA5~WITHDRAWN	
PSMC1P13	
PFN1P1	
HNRNPLP2	
RNU1-128P	
NACAP1	FKSG17
RN7SL260P	
SNORA27	ACA27
PIRC71	
ECE2	KIAA0604, MGC2408
TRNAG28	
STK10	LOK, PRO2729
KIRREL	NEPH1
RC3H1	KIAA2025, ROQUIN, RP5-1198E17.5, RNF198
SUB1P2	
VARS1~WITHDRAWN	
HTX1~WITHDRAWN	
MIR3137	HSA-MIR-3137
RPL5P10	
TRNAA8	
CYGB	HGB, STAP
MIR513A2	HSA-MIR-513-2
ALDRL2~WITHDRAWN	
RN7SL49P	
NTRK3	TRKC
GAPDHP49	
PARP4	VAULT3, P193, VPARP, VWA5C
OR8G7P	
ELMO2	CED12, ELMO-2, CED-12, KIAA1834, FLJ11656
STK31	TDRD8, SGK396
HAUSP~WITHDRAWN	
C9ORF101~WITHDRAWN	
MIR3119-1	HSA-MIR-3119-1
GAGE1	CT4.1
LY6G6F	G6F, NG32
GRM5-AS1	
C18ORF50~WITHDRAWN	
MRGPRX4	MRGX4
HIST1H4I	H4/M
PRAMEF22	PRAMEF3L
RNU6-797P	
ST6GALNAC4P1	
RNA5SP202	
MIR3191	HSA-MIR-3191
ZNF233	FLJ38032
OSBPL10	
PYURF	PREY
PFN1P4	
SCA16~WITHDRAWN	
RPL37AP3	
SSX3	CT5.3
MTND4P31	
LILRA6	ILT8, CD85B
ZFPL1	D11S750, MCG4
RPS2P21	
TREX1	DRN3
RPSAP22	
RNU6-195P	
GAL3ST2	GP3ST
SLC8A3	NCX3
HECA	HDCL, HHDC, HDC, DJ225E12.1
EMC9	CGI-112
DENND6A	FLJ34969, AFI1A
CEPO~WITHDRAWN	
PSMA2P2	
DFNB19	
RN7SL59P	
RNA5SP284	
PTF1A	PTF1-P48, BHLHA29
GOLGA6L11P	
MIR521-2	HSA-MIR-521-2
OR7E143P~WITHDRAWN	
OR2A21~WITHDRAWN	
ZNF621	FLJ45246
GCK	HK4
IFNAR1	IFRC
CD28LG1~WITHDRAWN	
LYZ	
IGKJ1	J1
RPL11P4	
ANKRD20A4	OTTHUMG00000066855
RNNL~WITHDRAWN	
EIF3~WITHDRAWN	
LINC00589	
C7ORF63	FLJ21062
MIR320D1	HSA-MIR-320D-1
RAI14	NORPEG, KIAA1334, RAI13, DKFZP564G013
RPSAP43	
CNCG2~WITHDRAWN	
C6ORF211	FLJ12910
LRRC71	FLJ32884
NFKB2	LYT-10, P52, P105, NF-KB2
NRAS	N-RAS
PFKP	PFK-C, PFKF
CSTL1	DJ322G13.4, CTES1
PXDNL	FLJ25471, PMR1
SCAF4	KIAA1172, DKFZP434E098, SRA4
GTSF1	FLJ32942
RAB40B	SEC4L, RAR
RNU4-49P	
ZDHHC11B	
GTF2E2	TFIIE-B, FE, TF2E2
ZFYVE9	SMADIP, SARA
MIR147B	HSA-MIR-147B
RNU6-298P	
PPIAP2	BA384D7.2
NHE1~WITHDRAWN	
TIMM8BP1	
IPO7P1	
MIR4747	HSA-MIR-4747
SPDYE5	
OR2R1P	OST058
RPTOR	KOG1, MIP1, KIAA1303, RAPTOR
RNU6-224P	
RN7SL733P	
WDR20	DMR, MGC33177, FLJ33659
COLEC11	MGC3279
RPS8P1	
ANKRD20A18P	
SCARNA12	U89
RPS6P3	
IGKV1-5	
SUMO2P8	
MSK2~WITHDRAWN	
SLC30A2	
LDHAL6FP	
CD200R1L	CD200RLA, CD200R2
SNAR-A13	SNAR-A53139991
ST3GAL6	ST3GALVI
OR52E2	
PIRC5	
TXGP1~WITHDRAWN	
DFNB47	
RNU6-126P	
OPN1SW	BOP, CBT
MIR15A	HSA-MIR-15A
BMS1P13	
SARS2	FLJ20450, MTSERRS, SERRSMT, SARS, SERS, SYS
MYL6P1	
ARHGAP31-AS1	
MTFP1	MTP18, HSPC242
RNU6-1088P	
LRRC17	P37NB, H_RG318M05.3
RNF31	ZIBRA, FLJ10111, FLJ23501, HOIP
RFWD2P1	
RNU6-1163P	
CTSLP2	
TERF1P2	
USP9YP22	
FOLR2	
PCDHAC2	PCDH-ALPHA-C2
USP17L23	
RNA5SP482	
NDFIP2-AS1	
DYM	FLJ20071, DMC, SMC
ABCB4	MDR2, PFIC-3, GBD1
KRT18P17	
RPS9	S9
DMRTA2	
MIR634	HSA-MIR-634
ALG9	
TLCD1	
KLHL6	FLJ00029
MCL1	BCL2L3, MCL-1
DHX58	LGP2, D11LGP2
MRPL30	MRP-L28, RPML28
RBMY2XP	
SNX22	FLJ13952
MAMLD1	CG1, F18
EEF1DP1	
RPS3AP12	
RPL7L1P9	
SCA29	ACV
IGLV8-61	
PF4V1	SCYB4V1, CXCL4V1, CXCL4L1
ZC3H11B	
SMCO4	FN5
XDH	XOR, XO
CCDC146	KIAA1505
HIGM1~WITHDRAWN	
SLC2A1-AS1	
VENTXP5	
RPS29P28	
C15ORF56	FLJ38596
ZNF485	
TLK2	PKU-ALPHA, MGC44450
TRNAE25	
TRNAK41P	
UBE2Q2	DKFZP762C143
MIR4497	HSA-MIR-4497
ERVK-8	HERV-K115, ENVK6
NTN3	
HAS1	
ARSJ	FLJ23548
KNDC1	KIAA1768, BB439H18.3, FLJ25027
TOR1A	DQ2
ZNRD1-AS1	HTEX4, EM:AB023056.3
HSPD1P1	HSPD1-2P
FRA5A	
OR51C4P	
MMRN1	ECM, EMILIN4, GPIA*
WDR11	KIAA1351, FLJ10506, WDR15, HH14, DR11
SETP18	
NCRNA00098~WITHDRAWN	
SPINT3	HKIB9
TAS2R5	T2R5
MROH2B	DKFZP781F0822, FLJ40243
SSSCA1	P27
PIRC100	
RPL39P16	
OR11M1P	
TCEB1P4	
TEX10	FLJ20287, BA208F1.2, IPI1
DCP2	NUDT20
CPNE5	CPN5, COPN5, KIAA1599
FABP5P10	
C1RL-AS1	MATL2963
RCC2P5	
PYROXD2	FLJ23849
OR52S1P	
LINC00849~WITHDRAWN	
KHDRBS1	SAM68, P62, FLJ34027
RN7SL377P	
CBX5P1	
FAM25A	BA96C23.5
HINT2	
OR51E1	GPR136
MT-ATP8	ATP8, A6L
RNU6-355P	
TRNAQ54P	
LYPD1	MGC29643
UBE2L4	
RNU6-668P	
PRRC2B	MGC10526, LQFBS-1
SCN3A	NAV1.3
PRPH2	TSPAN22, RD2, CACD2
IGHV1OR15-1	IGHV1/OR15-1
TRNAL36	
DHRS12	FLJ13639, SDR40C1
L1RE4	
RPL22	EAP, L22
ZMYND15	DKFZP434N127
SCA32	
MIR33A	HSA-MIR-33, HSA-MIR-33A
VPS41	HVSP41
RNU6-949P	
RNU6-1124P	
RPL31P52	
WASF3-AS1	
MIR4715	HSA-MIR-4715
RN7SL626P	
SPRED3	
MIR647	HSA-MIR-647
MLK2~WITHDRAWN	
MRX52	
MIR1184-1	HSA-MIR-1184
MYO9B	
PEPE	
FAM96AP1	
PCDHGA11	PCDH-GAMMA-A11
TRNAQ41P	
RN7SL67P	
MIR1255B1	HSA-MIR-1255B-1
RNU6-59P	
HNRNPA1P16	
MIR124-1	HSA-MIR-124A-1, HSA-MIR-124-1
OXGR1	P2RY15, P2Y15
PTGIR	IP
USP17L1P	USP17L1
TRNAN18	
OR4G4P	
FRA8E	
INTU	KIAA1284
SHROOM4	KIAA1202
WASF5P	EM:D84394.5
HYLS1	FLJ32915
SEMA5A	SEMF
NPM1P50	
SCNN1G	ENACGAMMA, SCNEG
MIR526A1	HSA-MIR-526A-1
MIPEPP2	
FMO4	
S100A14	S100A15, BCMP84
TRNAQ39P	
EIF1AXP2	
KRT4	CK4, K4
PXMP1L~WITHDRAWN	
PSMD12P	
RN7SL356P	
HLA-T	
MIR4746	HSA-MIR-4746
RN7SL860P	
GSTO1	GSTTLP28, P28
RNU6-631P	
SETD8	SET8, SET07, PR-SET7, KMT5A
DPD1~WITHDRAWN	
LAP3	LAPEP, LAP
VCY1B	BPY1B
RNU1-56P	
C17ORF18~WITHDRAWN	
RNU7-88P	
KCNK13	K2P13.1, THIK-1, THIK1
IGKV~WITHDRAWN	
MIR4280	HSA-MIR-4280
BA2R~WITHDRAWN	
LARGE-IT1	
NR2F1	EAR-3, COUP-TFI, TCFCOUP1, SVP44
FLNB	TAP, TABP, ABP-278, FH1
MIR4682	HSA-MIR-4682
VCAN	PG-M
HIGD1AP1	
OR10N1P	
YBEY	
SNORA8	ACA8
DIRC2	FLJ14784, RCC4
HOXA9	
ACKR4	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
SYNGR2	
MIR3689B	HSA-MIR-3689B
RNU6-927P	
TRAV16	TCRAV16S1, TCRAV9S1
RPS15AP15	
MYP11	
LYSMD3	FLJ13542
KRT18P30	
OR10S1	
PMS2P5	PMS7, MGC34222
RPL7P42	
ZNF33B	KOX31, KOX2
DNAJC5B	MGC26226, CSP-BETA
PRKY	PRKYP, PRKXP3
MAP4K4	HGK, NIK, FLH21957
PPARGC1B	PERC, PGC1B
GK-IT1	
UBE2F-SCLY	
RAB11B	H-YPT3
CACTIN	NY-REN-24, FSAPC, CACTIN
LINC00374	
GPR28~WITHDRAWN	
DNM1P39	DNM1DN11-3
LRRC14	KIAA0014, LRRC14A
LINC00623	
LINC00162	PRED74, NLC1-C
DAZ4	
CYCSP14	HCP14
FEB6	
CTSB	
MDM4	MDMX
TCF4	SEF2-1B, ITF2, BHLHB19, E2-2
PIM2	
